employee_id,name,department,position,salary,citizenship,date_of_hire,employment_status,performance_rating,education_level,project_involvement,benefits
928156,Angelina Delieu,Operations,Operations Manager,"€39402,07",Stamp 4,7/27/2023,Full-Time,4.3,Associate's,Social media takeover,Gym membership
866504,Nikki Winterborne,Marketing,Bike Technician,"€33737,38",Stamp 4,5/4/2024,Temporary,3.1,Master's,Marketing Campaigns,Employee stock options
844495,Pandora Fidock,Operations,Maintenance Supervisor,"€62423,60",Stamp 4,3/22/2024,Contract,4.7,Associate's,Social media takeover,Health insurance
854271,Fonz Tennock,Marketing,Marketing Manager,"€25510,10",Stamp 4,8/27/2023,Full-Time,2.0,High School,Bike Maintenance,Health insurance
802461,Tudor Ditter,Operations,Bike Technician,"€60857,94",Irish,3/17/2024,Part-Time,4.0,Bachelor's,Customer Support,Employee stock options
723477,Etan Gareisr,Operations,Operations Manager,"€63411,08",Stamp 1,12/31/2023,Contract,2.9,High School,Social media takeover,Employee discounts
722874,Deva Childes,Customer Service,Customer Service Manager,"€58506,63",Stamp 1,1/23/2024,Part-Time,4.4,Master's,Implemented regular maintenance schedule,Employee discounts
984222,Channa Collum,Marketing,Operations Manager,"€36849,60",Stamp 1,4/25/2024,Contract,4.6,Associate's,Implemented regular maintenance schedule,Employee discounts
902980,Tallia Winfindine,Customer Service,Maintenance Supervisor,"€45835,65",Stamp 1,11/2/2023,Temporary,2.6,Bachelor's,Bike Maintenance,Health insurance
885672,Gibbie Arbor,Operations,Customer Service Manager,"€62290,04",Irish,12/24/2023,Temporary,4.7,Associate's,Bike Maintenance,Employee stock options
914339,Faythe Golston,Operations,Maintenance Supervisor,"€42918,71",Irish,11/30/2023,Full-Time,3.8,Associate's,Social media takeover,Employee stock options
867466,Dorette Agget,Operations,Customer Support Agent,"€66592,72",Irish,9/25/2023,Part-Time,2.9,Bachelor's,Social Media Campaigns,Gym membership
808100,Monika Bilovus,Operations,Marketing Manager,"€56561,70",Stamp 4,2/14/2024,Part-Time,3.6,Bachelor's,Customer Support,Health insurance
858114,Redford Borzoni,Operations,Bike Technician,"€64172,10",Stamp 1,10/25/2023,Contract,4.4,High School,Customer Support,Paid time off
790096,Don Handling,Operations,Bike Technician,"€55278,81",Stamp 1,2/5/2024,Part-Time,2.7,Associate's,Bike Maintenance,Health insurance
968468,Madeline Manis,Marketing,Bike Technician,"€74706,35",Irish,7/16/2023,Temporary,3.2,Master's,Social Media Campaigns,Employee discounts
861184,Natal Simms,Operations,Operations Manager,"€56159,27",Stamp 4,9/2/2023,Part-Time,4.6,Bachelor's,Customer Support,Employee stock options
727071,Gizela Pearsey,Customer Service,Customer Support Agent,"€28882,31",Stamp 1,12/13/2023,Part-Time,4.2,Master's,Bike Maintenance,Employee stock options
846592,Florentia Kerwood,Marketing,Marketing Manager,"€61266,69",Irish,4/29/2024,Full-Time,3.8,High School,Marketing Campaigns,Health insurance
